My little bookstore
'9780670030543', '1984', 'George Orwell', 'English', 1949, 9.99, '2022-12-19 14:55:24', 33
'9780670030544', 'Norwegian Wood', 'Haruki Murakami', 'Japanese', 1987, 11.5, '2019-03-05 07:44:11', 31
'9780670030545', 'Pride and Prejudice', 'Jane Austen', 'English', 1813, 8.99, '2023-11-30 14:52:35', 37
'9780670030546', 'The Great Gatsby', 'F. Scott Fitzgerald', 'English', 1925, 10.49, '2023-06-10 06:33:35', 42
'9780670030547', 'The Catcher in the Rye', 'J.D. Salinger', 'English', 1951, 7.95, '2024-02-17 17:48:31', 32
'9780670030548', 'The Hunger Games', 'Suzanne Collins', 'English', 2008, 14.99, '2020-08-13 07:26:04', 37
'9780670030549', 'To Kill a Mockingbird', 'Harper Lee', 'English', 1960, 12.99, '2019-11-25 14:01:40', 45
'9780670030550', 'The Help', 'Kathryn Stockett', 'English', 2009, 13.25, '2021-08-19 05:49:03', 47
'9780670030551', 'One Hundred Years of Solitude', 'Gabriel Garcia Marquez', 'Spanish', 1967, 11.99, '2021-05-21 23:54:17', 33
'9780670030552', 'The Picture of Dorian Gray', 'Oscar Wilde', 'English', 1890, 9.75, '2019-10-28 01:14:28', 45
'9780670030553', 'The Goldfinch', 'Donna Tartt', 'English', 2013, 16.99, '2022-08-26 06:09:07', 35
'9780670030554', 'The Night Circus', 'Erin Morgenstern', 'English', 2011, 14.5, '2023-02-26 12:18:29', 33
'9780670030555', 'Where the Crawdads Sing', 'Delia Owens', 'English', 2018, 17.75, '2019-10-23 14:10:41', 35
'9780670030556', 'Beloved', 'Toni Morrison', 'English', 1987, 10.99, '2023-04-21 09:15:09', 42
'9780670030557', 'The Silent Patient', 'Alex Michaelides', 'English', 2019, 13.49, '2021-11-01 05:12:56', 32
'9780670030558', 'The Handmaid 's Tale', 'Margaret Atwood', 'English', 1985, 11.25, '2022-07-19 04:28:46', 31
'9780670030559', 'Slaughterhouse-Five', 'Kurt Vonnegut', 'English', 1969, 8.99, '2020-07-28 03:31:23', 36
'9780670030560', 'The Girl on the Train', 'Paula Hawkins', 'English', 2015, 12.95, '2023-06-18 09:54:03', 39
'9780670030561', 'The Martian', 'Andy Weir', 'English', 2011, 13.99, '2024-04-30 04:14:17', 38
'9780670030562', 'The Hobbit', 'J.R.R. Tolkien', 'English', 1937, 9.25, '2020-03-05 11:48:56', 38
'9780670030563', 'The Kite Runner', 'Khaled Hosseini', 'English', 2003, 11.75, '2020-12-25 23:01:01', 41
'9780670030564', 'Angels & Demons', 'Dan Brown', 'English', 2000, 10.5, '2019-04-20 06:48:36', 31
